time;voltage
0.0000;0.9978
0.0005;0.9978
0.0005;0.9978
0.0008;0.9978
0.0010;0.9978
0.0013;0.9978
0.0015;0.9978
0.0018;0.9978
0.0023;0.9978
0.0029;0.9978
0.0034;0.9978
0.0037;0.9978
0.0042;0.9978
0.0048;0.9978
0.0058;0.9978
0.0063;0.9978
0.0068;0.9978
0.0075;0.9978
0.0080;0.9978
0.0083;0.9978
0.0088;0.9978
0.0094;0.9978
0.0104;0.9978
0.0114;0.9978
0.0124;0.9978
0.0134;0.9978
0.0144;0.9978
0.0154;0.9978
0.0164;0.9978
0.0174;0.9978
0.0184;0.9978
0.0194;0.9978
0.0204;0.9978
0.0214;0.9978
0.0224;0.9978
0.0234;0.9978
0.0244;0.9978
0.0254;0.9978
0.0259;0.9978
0.0262;0.9978
0.0267;0.9978
0.0273;0.9978
0.0278;0.9978
0.0281;0.9978
0.0283;0.9978
0.0283;0.9978
0.0283;0.9978
0.0284;0.9978
0.0285;0.9978
0.0285;0.9978
0.0290;0.9978
0.0293;0.9978
0.0296;0.9978
0.0301;0.9978
0.0307;0.9978
0.0317;0.9978
0.0327;0.9978
0.0337;0.9978
0.0347;0.9978
0.0357;0.9978
0.0367;0.9978
0.0377;0.9978
0.0387;0.9978
0.0397;0.9978
0.0407;0.9978
0.0417;0.9978
0.0427;0.9978
0.0437;0.9978
0.0447;0.9979
0.0457;0.9979
0.0467;0.9979
0.0477;0.9979
0.0487;0.9979
0.0497;0.9979
0.0502;0.9979
0.0507;0.9979
0.0514;0.9979
0.0519;0.9979
0.0524;0.9979
0.0531;0.9979
0.0541;0.9979
0.0551;0.9979
0.0561;0.9979
0.0571;0.9979
0.0581;0.9979
0.0591;0.9979
0.0601;0.9979
0.0611;0.9979
0.0621;0.9979
0.0631;0.9979
0.0641;0.9979
0.0651;0.9979
0.0661;0.9979
0.0666;0.9979
0.0668;0.9979
0.0673;0.9979
0.0680;0.9979
0.0690;0.9979
0.0695;0.9979
0.0697;0.9979
0.0699;0.9979
0.0699;0.9979
0.0704;0.9979
0.0707;0.9979
0.0710;0.9979
0.0715;0.9979
0.0718;0.9979
0.0721;0.9979
0.0726;0.9979
0.0732;0.9979
0.0742;0.9979
0.0752;0.9979
0.0762;0.9979
0.0772;0.9979
0.0782;0.9979
0.0792;0.9979
0.0802;0.9979
0.0812;0.9979
0.0822;0.9979
0.0832;0.9979
0.0842;0.9979
0.0852;0.9979
0.0862;0.9979
0.0872;0.9979
0.0882;0.9979
0.0887;0.9979
0.0890;0.9979
0.0895;0.9979
0.0901;0.9979
0.0906;0.9979
0.0909;0.9979
0.0911;0.9979
0.0912;0.9979
0.0913;0.9979
0.0914;0.9979
0.0919;0.9979
0.0925;0.9979
0.0935;0.9979
0.0945;0.9979
0.0955;0.9979
0.0965;0.9979
0.0975;0.9979
0.0985;0.9979
0.0995;0.9979
0.1005;0.9979
0.1015;0.9979
0.1025;0.9979
0.1035;0.9979
0.1045;0.9979
0.1055;0.9979
0.1065;0.9979
0.1075;0.9979
0.1085;0.9979
0.1095;0.9979
0.1105;0.9979
0.1115;0.9979
0.1125;0.9979
0.1135;0.9979
0.1145;0.9979
0.1155;0.9979
0.1165;0.9979
0.1175;0.9979
0.1185;0.9979
0.1195;0.9979
0.1205;0.9979
0.1215;0.9979
0.1225;0.9979
0.1235;0.9979
0.1245;0.9979
0.1250;0.9979
0.1253;0.9979
0.1255;0.9979
0.1256;0.9979
0.1261;0.9979
0.1267;0.9979
0.1272;0.9979
0.1275;0.9979
0.1280;0.9979
0.1283;0.9979
0.1286;0.9979
0.1287;0.9979
0.1287;0.9979
0.1292;0.9979
0.1299;0.9979
0.1309;0.9979
0.1319;0.9979
0.1329;0.9979
0.1339;0.9979
0.1349;0.9979
0.1359;0.9979
0.1369;0.9979
0.1379;0.9979
0.1389;0.9979
0.1399;0.9979
0.1409;0.9979
0.1419;0.9979
0.1429;0.9979
