b:tnow in s;m:u in p.u.
0.000000;1.019646
0.000500;1.019008
0.001000;1.017907
0.001667;1.021158
0.002667;1.020445
0.003667;1.021265
0.004667;1.022131
0.005667;1.022388
0.006667;1.022499
0.007667;1.022493
0.008667;1.022406
0.009667;1.022301
0.010667;1.022319
0.011667;1.022393
0.012667;1.022512
0.013667;1.022689
0.014667;1.022899
0.015667;1.023123
0.016667;1.023339
0.017667;1.023531
0.018667;1.023691
0.019667;1.023812
0.020667;1.023887
0.021667;1.023916
0.022667;1.023905
0.023667;1.023860
0.024667;1.023788
0.025667;1.023693
0.026667;1.023586
0.027667;1.023474
0.028667;1.023361
0.029667;1.023252
0.030667;1.023151
0.031667;1.023060
0.032667;1.022980
0.033667;1.022911
0.034667;1.022852
0.035667;1.022802
0.036667;1.022760
0.037667;1.022723
0.038667;1.022689
0.039667;1.022658
0.040667;1.022628
0.041667;1.022596
0.042667;1.022562
0.043667;1.022525
0.044667;1.022485
0.045667;1.022441
0.046667;1.022394
0.047667;1.022343
0.048667;1.022288
0.049667;1.022232
0.050667;1.022173
0.051667;1.022112
0.052667;1.022050
0.053167;1.022019
0.053667;1.021978
0.054333;1.021930
0.055333;1.021869
0.056333;1.021823
0.057333;1.021764
0.058333;1.021703
0.059333;1.021648
0.060333;1.021592
0.061333;1.021534
0.062333;1.021477
0.063333;1.021422
0.064333;1.021367
0.065333;1.021311
0.066333;1.021253
0.067333;1.021196
0.068333;1.021140
0.069333;1.021082
0.070333;1.021022
0.071333;1.020963
0.072333;1.020904
0.073333;1.020844
0.074333;1.020784
0.075333;1.020723
0.076333;1.020663
0.077333;1.020603
0.078333;1.020542
0.079333;1.020482
0.080333;1.020423
0.081333;1.020364
0.082333;1.020305
0.083333;1.020246
0.084333;1.020188
0.085333;1.020131
0.086333;1.020073
0.087333;1.020015
0.088333;1.019958
0.089333;1.019901
0.090333;1.019844
0.091333;1.019787
0.092333;1.019729
0.093333;1.019672
0.094333;1.019615
0.095333;1.019558
0.096333;1.019501
0.097333;1.019445
0.098333;1.019388
0.099333;1.019331
0.100333;1.019275
0.101333;1.019219
0.102333;1.019163
0.103333;1.019107
0.104333;1.019051
0.105333;1.018996
0.106333;1.018941
0.107333;1.018886
0.108333;1.018831
0.109333;1.018776
0.110333;1.018722
0.111333;1.018668
0.112333;1.018613
0.113333;1.018559
0.114333;1.018506
0.115333;1.018452
0.116333;1.018398
0.117333;1.018345
0.118333;1.018292
0.119333;1.018239
0.120333;1.018186
0.121333;1.018134
0.122333;1.018082
0.123333;1.018030
0.124333;1.017978
0.125333;1.017926
0.126333;1.017875
0.127333;1.017818
0.128333;1.017752
0.129333;1.017698
0.130333;1.017677
0.131333;1.017613
0.132333;1.017580
0.133333;1.017537
0.134333;1.017500
0.135333;1.017461
0.136333;1.017409
0.137333;1.017360
0.138333;1.017317
0.139333;1.017270
0.140333;1.017223
0.141333;1.017178
0.142333;1.017131
0.143333;1.017021
0.144333;1.016973
0.145333;1.016945
0.146333;1.016921
0.147333;1.016872
0.148333;1.016788
0.149333;1.016746
0.150333;1.016714
0.151333;1.016690
0.152333;1.016629
0.153333;1.016569
0.154333;1.016534
0.155333;1.016514
0.156333;1.016406
0.157333;1.016371
0.158333;1.016357
0.159333;1.016285
0.160333;1.016250
0.161333;1.016235
0.162333;1.016157
0.163333;1.016125
0.164333;1.016111
0.165333;1.016038
0.166333;1.016006
0.167333;1.015993
0.168333;1.015922
0.169333;1.015890
0.170333;1.015878
0.171333;1.015818
0.172333;1.015784
0.173333;1.015771
0.174333;1.015699
0.175333;1.015670
0.176333;1.015660
0.177333;1.015602
0.178333;1.015570
0.179333;1.015559
0.180333;1.015491
0.181333;1.015463
0.182333;1.015455
0.183333;1.015400
0.184333;1.015370
0.185333;1.015361
0.186333;1.015325
0.187333;1.015317
0.188333;1.015280
0.189333;1.015248
0.190333;1.015222
0.191333;1.015191
0.192333;1.015161
0.193333;1.015134
0.194333;1.015107
0.195333;1.015080
0.196333;1.015053
0.197333;1.015026
0.198333;1.015001
0.199333;1.014976
0.200333;1.014950
0.201333;1.014925
